"","Trap","X","Y","Area0100","Area0250","Area0500","Area0750","Area1000","Area1500","Area2000","Area2500","Area3000"
"102","AI32A02",-59.35441686,-1.841257358,0.432432432432432,0.552511415525114,0.445330296127563,0.35537607269056,0.304718590108016,0.290632911392405,0.330961360563581,0.385344081614064,0.411787048173704
"103","AI32A03",-59.354349,-1.84178,0.0555555555555556,0.445454545454545,0.424173318129989,0.342091965639212,0.296159317211949,0.299051233396585,0.338837093445306,0.389906167441013,0.417687074829932
"104","AI32A04",-59.354151,-1.842966,0.0285714285714286,0.252252252252252,0.350797266514806,0.305471124620061,0.300056882821388,0.32253164556962,0.357864768683274,0.401038582426092,0.431224296108826
"105","AI32A05",-59.354112,-1.845776,0,0,0.173714285714286,0.253549695740365,0.320636725412166,0.402151898734177,0.407201821804725,0.418878921724876,0.448444964723004
"106","FI01A01",-59.82222,-1.505455,1,0.468181818181818,0.381818181818182,0.310344827586207,0.288603988603989,0.208422916403187,0.162121751512994,0.139695838266096,0.185392547605491
"107","FI01A02",-59.822357,-1.504967,1,0.583333333333333,0.428086070215176,0.339737108190091,0.303047564796354,0.205186590765338,0.16109292728049,0.138438411078717,0.185176984152089
"108","FI01A03",-59.822607,-1.504175,1,0.756880733944954,0.462414578587699,0.380253164556962,0.325448845825021,0.199342271692386,0.159014876503666,0.137527332361516,0.184967258232894
"109","FI01A04",-59.822475,-1.503378,1,0.824324324324324,0.527936145952109,0.427774961986822,0.344416027280477,0.201493481837742,0.158542659930264,0.139434245888945,0.186940428359012
"110","FI02A01",-59.678208,-1.761555,0.885714285714286,0.540540540540541,0.259977194982896,0.183291139240506,0.14208581983518,0.168459688647007,0.206972607612949,0.228835557174735,0.258035940268287
"111","FI02A02",-59.678547,-1.761921,1,0.608108108108108,0.250572082379863,0.185128983308043,0.140335895246228,0.172226434167298,0.209885335802293,0.231722880583409,0.261913043478261
"112","FI02A03",-59.678788,-1.762413,1,0.624434389140271,0.242562929061785,0.182139253279516,0.136842105263158,0.175600505689001,0.211417995444191,0.233611225001139,0.263141248655829
"113","FI02A04",-59.67907,-1.76289,1,0.579908675799087,0.243458475540387,0.173670886075949,0.136428367986329,0.182002278192634,0.214519572953737,0.236612021857923,0.265597317134903
"114","FI03A01",-59.664356,-1.872133,0.771428571428571,0.309417040358744,0.233751425313569,0.236188545362392,0.217576791808874,0.202405063291139,0.270366417644966,0.311122244488978,0.382953143291043
"115","FI03A02",-59.663586,-1.872758,0.942857142857143,0.420091324200913,0.273863636363636,0.259634888438134,0.233836513813728,0.224683544303797,0.292556219755195,0.32571272429183,0.391201214498071
"116","FI03A03",-59.663108,-1.873395,0.861111111111111,0.493212669683258,0.280681818181818,0.282674772036474,0.249501566505269,0.245163737514224,0.312464428002277,0.342555033954697,0.400411132194813
"117","FI03A04",-59.662323,-1.874075,0.84375,0.560185185185185,0.301369863013699,0.307769929364278,0.257264957264957,0.27318803852002,0.335657866647691,0.366191408919054,0.410285605844957
"118","FI08A01",-59.781672,-1.695998,1,0.854545454545454,0.772468714448237,0.79493670886076,0.763112884834664,0.682633973710819,0.588113879003559,0.583568759682858,0.588618606269573
"119","FI08A02",-59.782526,-1.696654,1,0.995391705069124,0.770715096481271,0.795247724974722,0.779361459521095,0.662828947368421,0.57542336701295,0.572808016397176,0.57895735796533
"120","FI08A03",-59.783498,-1.697219,1,0.995391705069124,0.796359499431172,0.789660415610745,0.787464387464388,0.638699063528221,0.568358123976941,0.566074681238616,0.572187776793623
"121","FI08A04",-59.784534,-1.69796,1,0.986363636363636,0.85290763968073,0.796042617960426,0.757248436611711,0.617721518987342,0.559715302491103,0.555995809992258,0.564503369933234
"122","FI10A01",-59.450575,-1.741782,1,0.813636363636363,0.49032992036405,0.467611336032389,0.539338654503991,0.551636961193275,0.584240871236387,0.601722331070306,0.62162333143544
"123","FI10A02",-59.449493,-1.741227,1,0.968325791855204,0.60250569476082,0.521255060728745,0.565118267312625,0.574045994440233,0.594746583143508,0.614785105510232,0.627687832026309
"124","FI10A03",-59.448608,-1.740694,1,0.968325791855204,0.696693272519954,0.574974670719351,0.587382779198636,0.590909090909091,0.597907324364723,0.62513093774195,0.627760551793963
"125","FI10A04",-59.447335,-1.739959,1,0.995348837209302,0.789772727272727,0.66751012145749,0.611396011396011,0.610534312484173,0.601380684648779,0.639850583090379,0.631722130836391
"126","FI12A01",-59.634269,-1.597496,1,0.844748858447489,0.915813424345848,0.863152559553979,0.82650739476678,0.770194986072423,0.75510639812113,0.719983608796612,0.660139815898523
"127","FI12A02",-59.633362,-1.596468,1,0.986111111111111,0.941913439635535,0.906976744186047,0.861577898034748,0.801621484671903,0.788447858870394,0.736051013436575,0.677208184434395
"128","FI12A03",-59.632319,-1.595481,1,1,0.973744292237443,0.940222897669706,0.889364128885087,0.838746366738279,0.817741705823722,0.750695045804658,0.697254380970456
"129","FI12A04",-59.631423,-1.59458,1,1,0.996598639455782,0.948860759493671,0.919442072302875,0.86745157614888,0.837626298562687,0.76573745103398,0.71384741902834
"130","FI12A05",-59.630246,-1.559965,1,0.769230769230769,0.603644646924829,0.664982314300152,0.73992049971607,0.791360526982518,0.796654804270463,0.754303670643957,0.73760167104472
"131","FI12A06",-59.630486,-1.561281,1,1,0.707289293849658,0.699949315762798,0.745883021010789,0.792985565966067,0.795985193621868,0.757571617251901,0.738141198063352
"132","FI12A07",-59.630884,-1.562322,1,1,0.850967007963595,0.728145528044467,0.757489300998573,0.795422935895815,0.793493735763098,0.75865367097832,0.737076874406833
"133","FI12A08",-59.631838,-1.563214,1,1,0.970387243735763,0.759231158320688,0.776483953422323,0.80184856925804,0.77681303821792,0.750740082889284,0.729908524040136
"134","FI13A01",-59.75063758,-1.631094351,1,0.903225806451613,0.738391845979615,0.568974229408792,0.555966960979778,0.566603415559772,0.579591546289049,0.582820968256137,0.604675439706441
"135","FI13A02",-59.75135766,-1.630233087,1,1,0.77891156462585,0.640830800405269,0.572445203529747,0.577161666033675,0.584987548914977,0.58792985652471,0.604902736043017
"136","FI13A03",-59.75207774,-1.629371823,1,0.995515695067265,0.776,0.711314053779807,0.596641047537717,0.58725937183384,0.586908573461402,0.595872625392921,0.606973359488705
"137","FI13A04",-59.75279782,-1.628510558,1,0.945454545454545,0.802961275626424,0.756196256954982,0.635327635327635,0.595677451971689,0.586489179954442,0.606162822499772,0.612297181895816
"138","FI15A01",-59.828985,-1.522236,0,0,0.0205714285714286,0.0887874175545409,0.167187056485949,0.178594046865104,0.153139683895771,0.150685555504942,0.174450984114929
"139","FI15A02",-59.829071,-1.522841,0,0,0.0342857142857143,0.124810510358767,0.189243027888446,0.189079878665319,0.157280170879316,0.14737513671163,0.168890715911966
"140","FI18A01",-59.724237,-1.67609,1,0.763888888888889,0.622727272727273,0.625822784810127,0.668947818648417,0.746676794530953,0.770051953597609,0.767366646927527,0.741822208161974
"141","FI18A02",-59.723707,-1.675026,1,0.990783410138249,0.742921857304643,0.657056145675265,0.670846394984326,0.743200506008855,0.755478087649402,0.758688225916648,0.735606731620903
"142","FI18A03",-59.721981,-1.674849,1,0.981900452488688,0.802047781569966,0.671392405063291,0.698778061949417,0.747464503042596,0.754199886104784,0.739867018854176,0.722060406509213
"143","FI18A04",-59.720327,-1.675084,0.972222222222222,0.922374429223744,0.818700114025085,0.697827185447196,0.702018765993745,0.747058079210426,0.749573014517506,0.724013847134918,0.708776259174893
"144","FI19A01",-59.44836,-1.788909,1,0.782805429864253,0.387243735763098,0.379118094272681,0.33825617722238,0.278748733535968,0.310315369829857,0.313721025547611,0.330390481615088
"145","FI19A02",-59.44574,-1.791575,0.542857142857143,0.32579185520362,0.382588774341352,0.29726996966633,0.271562766865927,0.247470915528579,0.273866305972806,0.284796573875803,0.290754334894317
"146","FI20A01",-59.692755,-1.775363,0.378378378378378,0.221719457013575,0.14123006833713,0.251648909183156,0.34640522875817,0.363912823112012,0.351915135981774,0.338601685265315,0.35297841362284
"147","FI20A02",-59.692577,-1.775107,0.527777777777778,0.203619909502262,0.127708095781072,0.24,0.341407808492448,0.359110437199899,0.352911861028051,0.33928815567607,0.352552343601746
